Year,State,EV_R,EV_D,Population,Total_VAP,Total_VAC,Total_REG,Total_Vote,Perc_VAP,Perc_VAC,Perc_REG,D_placed,R_placed,O_placed,Margin,Perc_Margin,Vote_Perc_D,Vote_Perc_R,Vote_Perc_T,Vote_Perc_O,Vote_D,Vote_R,Vote_T,Vote_O
2016,Alabama,9,0,4863300,0,0,3333058,2123372,-,-,63.70,2,1,3,588708,27.73,34.36,62.08,2.09,1.46,729547,1318255,44467,31103
2016,Alaska,3,0,741894,0,0,528560,318608,-,-,60.30,2,1,3,46933,14.73,36.55,51.28,5.88,6.29,116454,163387,18725,20042
2016,Arizona,11,0,6931071,0,0,4088036,2604657,-,-,63.70,2,1,3,91234,3.50,44.58,48.08,4.08,3.25,1161167,1252401,106327,84762
2016,Arkansas,6,0,2988248,0,0,1759982,1130635,-,-,64.20,2,1,3,304378,26.92,33.65,60.57,2.64,3.13,380494,684872,29829,35440
2016,California,0,55,39250017,0,0,19411771,14237893,-,-,73.30,1,2,3,4269978,29.99,61.48,31.49,3.36,3.66,8753792,4483814,478500,521787
2016,Colorado,0,9,5540545,0,0,3840159,2780247,-,-,72.40,1,2,3,136386,4.91,48.16,43.25,5.18,3.41,1338870,1202484,144121,94772
2016,Connecticut,0,7,3576452,0,0,2357733,1644920,-,-,69.80,1,2,3,224357,13.64,54.57,40.93,2.96,1.55,897572,673215,48676,25457
2016,Delaware,0,3,952065,0,0,675663,443814,-,-,65.70,1,2,3,50476,11.37,53.09,41.71,3.33,1.88,235603,185127,14757,8327
2016,D. C.,0,3,681170,0,0,478688,311268,-,-,65.00,1,2,4,270107,86.78,90.86,4.09,1.58,3.47,282830,12723,4906,10809
2016,Florida,29,0,20612439,0,0,0,9502747,-,-,-,2,1,3,112911,1.19,47.41,48.60,2.18,1.82,4504975,4617886,207043,172843
2016,Georgia,16,0,10310371,0,0,5443046,4141447,-,-,76.10,2,1,3,211141,5.10,45.35,50.44,3.03,1.18,1877963,2089104,125306,49074
2016,Hawaii,0,3,1428557,0,0,749917,428937,-,-,57.20,1,2,3,138044,32.18,62.22,30.04,3.72,4.02,266891,128847,15954,17245
2016,Idaho,4,0,1683140,0,0,936529,690433,-,-,73.70,2,1,4,219290,31.76,27.48,59.25,4.10,9.17,189765,409055,28331,63282
2016,Illinois,0,20,12801539,0,0,8029847,5594825,-,-,69.70,1,2,3,944714,16.89,55.24,38.36,3.75,2.65,3090729,2146015,209596,148485
2016,Indiana,11,0,6633053,0,0,4829243,2757965,-,-,57.10,2,1,3,524160,19.01,37.46,56.47,4.86,1.22,1033126,1557286,133993,33560
2016,Iowa,6,0,3134693,0,0,2172985,1566031,-,-,72.10,2,1,3,147314,9.41,41.74,51.15,3.78,3.33,653669,800983,59186,52193
2016,Kansas,6,0,2907289,0,0,1817920,1194755,-,-,65.70,2,1,3,244013,20.42,35.74,56.16,4.64,3.46,427005,671018,55406,41326
2016,Kentucky,8,0,4436974,0,0,3306120,1924150,-,-,58.20,2,1,3,574117,29.84,32.68,62.52,2.79,2.00,628854,1202971,53752,38573
2016,Louisiana,8,0,4681666,0,0,3023241,2029032,-,-,67.10,2,1,3,398484,19.64,38.45,58.09,1.87,1.59,780154,1178638,37978,32262
2016,Maine,1,3,1331479,0,0,1064258,747927,-,-,70.30,1,2,3,22142,2.96,47.83,44.87,5.09,2.21,357735,335593,38105,16494
2016,Maryland,0,10,6016447,0,0,0,2781446,-,-,-,1,2,3,734759,26.42,60.33,33.91,2.86,2.90,1677928,943169,79605,80744
2016,Massachusetts,0,11,6811779,0,0,4534974,3325046,-,-,73.30,1,2,3,904303,27.20,60.01,32.81,4.15,3.04,1995196,1090893,138018,100939
2016,Michigan,16,0,9928300,0,0,7514055,4824542,-,-,64.20,2,1,3,10704,0.22,47.03,47.25,3.57,2.16,2268839,2279543,172136,104024
2016,Minnesota,0,10,5519952,0,0,3623913,2945233,-,-,81.30,1,2,3,44593,1.51,46.44,44.93,3.84,4.79,1367825,1323232,112984,141192
2016,Mississippi,6,0,2988726,0,0,2085757,1211088,-,-,58.10,2,1,3,215583,17.80,40.06,57.86,1.19,0.89,485131,700714,14435,10808
2016,Missouri,10,0,6093000,0,0,4223787,2828266,-,-,67.00,2,1,3,523443,18.51,37.87,56.38,3.44,2.31,1071068,1594511,97359,65328
2016,Montana,3,0,1042520,0,0,694370,501822,-,-,72.30,2,1,3,101531,20.23,35.41,55.65,5.59,3.35,177709,279240,28037,16836
2016,Nebraska,5,0,1907116,0,0,1211101,844227,-,-,69.70,2,1,3,211467,25.05,33.70,58.75,4.61,2.94,284494,495961,38946,24826
2016,Nevada,0,6,2940058,0,0,1679254,1125385,-,-,67.00,1,2,3,27202,2.42,47.92,45.50,3.32,3.26,539260,512058,37384,36683
2016,New Hampshire,0,4,1334795,0,0,1016926,744296,-,-,73.20,1,2,3,2736,0.37,46.83,46.46,4.14,2.58,348526,345790,30777,19203
2016,New Jersey,0,14,8944469,0,0,5808260,3906723,-,-,67.30,1,2,3,546345,13.98,54.99,41.00,1.86,2.15,2148278,1601933,72477,84035
2016,New Mexico,0,5,2081015,0,0,1289420,798319,-,-,61.90,1,2,3,65567,8.21,48.26,40.04,9.34,2.36,385234,319667,74541,18877
2016,New York,0,29,19745289,0,0,12493250,7721795,-,-,61.80,1,2,3,1736585,22.49,59.00,36.51,2.29,2.20,4556142,2819557,176600,169496
2016,North Carolina,15,0,10146788,0,0,6896349,4741564,-,-,68.80,2,1,3,173315,3.66,46.17,49.83,2.74,1.25,2189316,2362631,130126,59491
2016,North Dakota,3,0,757952,0,0,0,344360,-,-,-,2,1,3,123036,35.73,27.23,62.96,6.22,3.59,93758,216794,21434,12374
2016,Ohio,18,0,11614373,0,0,7861025,5536547,-,-,70.40,2,1,3,446837,8.07,43.24,51.31,3.15,2.29,2394169,2841006,174498,126874
2016,Oklahoma,7,0,3923561,0,0,2157450,1452992,-,-,67.30,2,1,3,528761,36.39,28.93,65.32,5.75,0.00,420375,949136,83481,0
2016,Oregon,0,7,4093465,0,0,2553806,2001336,-,-,78.40,1,2,3,219703,10.98,50.07,39.09,4.71,6.13,1002106,782403,94231,122596
2016,Pennsylvania,20,0,12784227,0,0,8722977,6166729,-,-,70.70,2,1,3,44292,0.72,47.46,48.17,2.38,1.99,2926441,2970733,146715,122840
2016,Rhode Island,0,4,1056426,0,0,770875,464144,-,-,60.20,1,2,3,71982,15.51,54.41,38.90,3.18,3.52,252525,180543,14746,16330
2016,South Carolina,9,0,4961119,0,0,3129467,2103027,-,-,67.20,2,1,3,300016,14.27,40.67,54.94,2.34,2.05,855373,1155389,49204,43061
2016,South Dakota,3,0,865454,0,0,595126,370093,-,-,62.20,2,1,3,110263,29.79,31.74,61.53,5.63,1.10,117458,227721,20850,4064
2016,Tennessee,11,0,6651194,0,0,4110318,2508027,-,-,61.00,2,1,3,652230,26.01,34.72,60.72,2.81,1.75,870695,1522925,70397,44010
2016,Texas,36,0,27862596,0,0,15101087,8993166,-,-,59.60,2,1,3,807179,8.98,43.12,52.10,3.15,1.63,3877868,4685047,283492,146759
2016,Utah,6,0,3051217,0,0,1576497,1143601,-,-,72.50,2,1,4,204555,17.89,27.17,45.05,3.46,24.32,310676,515231,39608,278086
2016,Vermont,0,3,624594,0,0,471619,315067,-,-,66.80,1,2,4,83204,26.41,56.68,30.27,3.20,9.85,178573,95369,10078,31047
2016,Virginia,0,13,8411808,0,0,5604003,3982752,-,-,71.10,1,2,3,212030,5.32,49.75,44.43,2.97,2.85,1981473,1769443,118274,113562
2016,Washington,0,8,7288000,0,0,4270270,3316996,-,-,77.70,1,2,3,520971,15.71,52.54,36.83,4.85,5.78,1742718,1221747,160879,191652
2016,West Virginia,5,0,1831102,0,0,1274887,721233,-,-,56.60,2,1,3,300577,41.68,26.18,67.85,3.19,2.78,188794,489371,23004,20064
2016,Wisconsin,10,0,5778708,0,0,3711904,2976150,-,-,80.20,2,1,3,22748,0.76,46.45,47.22,3.58,2.74,1382536,1405284,106674,81656
2016,Wyoming,3,0,585501,0,0,278042,255849,-,-,92.00,2,1,3,118446,46.30,21.88,68.17,5.19,4.76,55973,174419,13287,12170
2012,Alabama,9,0,4822023,0,0,3162135,2074338,-,-,65.60,2,1,,460229,22.19,38.36,60.55,,1.10,795696,1255925,,22717
2012,Alaska,3,0,731449,0,0,506434,300495,-,-,59.30,2,1,,42036,13.99,40.81,54.80,,4.39,122640,164676,,13179
2012,Arizona,11,0,6553255,0,0,3725362,2306559,-,-,61.90,2,1,,208422,9.04,44.45,53.48,,2.07,1025232,1233654,,47673
2012,Arkansas,6,0,2949131,0,0,1618328,1069468,-,-,66.10,2,1,,253335,23.69,36.88,60.57,,2.55,394409,647744,,27315
2012,California,0,55,38041430,0,0,18245970,13055815,-,-,71.60,1,2,,3014327,23.09,60.16,37.07,,2.77,7854285,4839958,,361572
2012,Colorado,0,9,5187582,0,0,3644344,2571846,-,-,70.60,1,2,,137859,5.36,51.45,46.09,,2.47,1323102,1185243,,63501
2012,Connecticut,0,7,3590347,0,0,2218663,1558993,-,-,70.30,1,2,,270210,17.33,58.06,40.72,,1.22,905109,634899,,18985
2012,Delaware,0,3,917092,0,0,632417,413921,-,-,65.50,1,2,,77100,18.63,58.61,39.98,,1.41,242584,165484,,5853
2012,D. C.,0,3,632323,0,0,483600,293764,-,-,60.70,1,2,,245689,83.63,90.91,7.28,,1.81,267070,21381,,5313
2012,Florida,0,29,19317568,0,0,11934446,8492175,-,-,71.20,1,2,,74309,0.88,49.90,49.03,,1.07,4237756,4163447,,90972
2012,Georgia,16,0,9919945,0,0,5428980,3908369,-,-,72.00,2,1,,304861,7.80,45.39,53.19,,1.43,1773827,2078688,,55854
2012,Hawaii,0,4,1392313,0,0,705668,434697,-,-,61.60,1,2,,185643,42.71,70.55,27.84,,1.62,306658,121015,,7024
2012,Idaho,4,0,1595728,0,0,895834,656742,-,-,73.30,2,1,,208124,31.69,32.40,64.09,,3.51,212787,420911,,23044
2012,Illinois,0,20,12875255,0,0,7520722,5251432,-,-,69.80,1,2,,884296,16.84,57.50,40.66,,1.84,3019512,2135216,,96704
2012,Indiana,11,0,6537334,0,0,4555257,2633143,-,-,57.80,2,1,,268597,10.20,43.84,54.04,,2.13,1154275,1422872,,55996
2012,Iowa,0,6,3074186,0,0,2197914,1582180,-,-,72.00,1,2,,91927,5.81,51.99,46.18,,1.83,822544,730617,,29019
2012,Kansas,6,0,2885905,0,0,1771252,1157532,-,-,65.40,2,1,,249901,21.59,38.00,59.59,,2.40,439908,689809,,27815
2012,Kentucky,8,0,4380415,0,0,3037153,1798048,-,-,59.20,2,1,,407820,22.68,37.78,60.47,,1.75,679370,1087190,,31488
2012,Louisiana,8,0,4601893,0,0,2965751,1994065,-,-,67.20,2,1,,343121,17.21,40.58,57.78,,1.64,809141,1152262,,32662
2012,Maine,0,4,1329192,0,0,1025444,713180,-,-,69.50,1,2,,109030,15.29,56.27,40.98,,2.75,401306,292276,,19598
2012,Maryland,0,10,5884563,0,0,3694527,2707327,-,-,73.30,1,2,,705975,26.08,61.97,35.90,,2.13,1677844,971869,,57614
2012,Massachusetts,0,11,6646144,0,0,4342841,3167767,-,-,72.90,1,2,,733301,23.15,60.67,37.52,,1.82,1921761,1188460,,57546
2012,Michigan,0,16,9883360,0,0,7454553,4745316,-,-,63.70,1,2,,449313,9.47,54.04,44.58,,1.38,2564569,2115256,,65491
2012,Minnesota,0,10,5379139,0,0,3611892,2936561,-,-,81.30,1,2,,225942,7.69,52.65,44.96,,2.39,1546167,1320225,,70169
2012,Mississippi,6,0,2984926,0,0,2066851,1285584,-,-,62.20,2,1,,147797,11.50,43.79,55.29,,0.92,562949,710746,,11889
2012,Missouri,10,0,6021988,0,0,4007174,2763689,-,-,69.00,2,1,,258644,9.36,44.28,53.64,,2.08,1223796,1482440,,57453
2012,Montana,3,0,1005141,0,0,681608,484484,-,-,71.10,2,1,,66089,13.64,41.66,55.30,,3.04,201839,267928,,14717
2012,Nebraska,5,0,1855525,0,0,1163871,794379,-,-,68.30,2,1,,172983,21.78,38.03,59.80,,2.17,302081,475064,,17234
2012,Nevada,0,6,2758931,0,0,1500818,1014918,-,-,67.60,1,2,,67806,6.68,52.36,45.68,,1.97,531373,463567,,19978
2012,New Hampshire,0,4,1320718,0,0,905957,710972,-,-,78.50,1,2,,39643,5.58,51.98,46.40,,1.62,369561,329918,,11493
2012,New Jersey,0,14,8864590,0,0,5497322,3651140,-,-,66.40,1,2,,647861,17.74,58.25,40.50,,1.25,2126610,1478749,,45781
2012,New Mexico,0,5,2085538,0,0,1254567,783757,-,-,62.50,1,2,,79547,10.15,52.99,42.84,,4.16,415335,335788,,32634
2012,New York,0,29,19570261,0,0,11969192,7081536,-,-,59.20,1,2,,1995381,28.18,63.35,35.17,,1.49,4485877,2490496,,105163
2012,North Carolina,15,0,9752073,0,0,6649188,4505372,-,-,67.80,2,1,,92004,2.04,48.35,50.39,,1.26,2178391,2270395,,56586
2012,North Dakota,3,0,699628,0,0,0,322627,-,-,-,2,1,,63336,19.63,38.69,58.32,,2.99,124827,188163,,9637
2012,Ohio,0,18,11544225,0,0,7987203,5590934,-,-,70.00,1,2,,166272,2.97,50.58,47.60,,1.82,2827709,2661437,,101788
2012,Oklahoma,7,0,3814820,0,0,2114713,1334872,-,-,63.10,2,1,,447778,33.54,33.23,66.77,,0.00,443547,891325,,0
2012,Oregon,0,7,3899353,0,0,2199360,1789270,-,-,81.40,1,2,,216313,12.09,54.24,42.15,,3.61,970488,754175,,64607
2012,Pennsylvania,0,20,12763536,0,0,8508015,5755620,-,-,67.60,1,2,,309840,5.38,51.95,46.57,,1.48,2990274,2680434,,84912
2012,Rhode Island,0,4,1050292,0,0,732860,446049,-,-,60.90,1,2,,122473,27.46,62.70,35.24,,2.06,279677,157204,,9168
2012,South Carolina,9,0,4723723,0,0,2875496,1964118,-,-,68.30,2,1,,205704,10.47,44.09,54.56,,1.35,865941,1071645,,26532
2012,South Dakota,3,0,833354,0,0,581753,363815,-,-,62.50,2,1,,65571,18.02,39.87,57.89,,2.24,145039,210610,,8166
2012,Tennessee,11,0,6456243,0,0,4013242,2460904,-,-,61.30,2,1,,501621,20.38,39.04,59.42,,1.54,960709,1462330,,37865
2012,Texas,38,0,26059203,0,0,13646226,7999657,-,-,58.60,2,1,,1261719,15.77,41.35,57.13,,1.52,3308124,4569843,,121690
2012,Utah,6,0,2855287,0,0,1513241,1020861,-,-,67.50,2,1,,488787,47.88,24.67,72.55,,2.79,251813,740600,,28448
2012,Vermont,0,3,626011,0,0,461237,299290,-,-,64.90,1,2,,106541,35.60,66.57,30.97,,2.46,199239,92698,,7353
2012,Virginia,0,13,8185867,0,0,5428833,3854489,-,-,71.00,1,2,,149298,3.87,51.16,47.28,,1.56,1971820,1822522,,60147
2012,Washington,0,12,6897012,0,0,3904959,3145958,-,-,80.60,1,2,,464726,14.77,55.80,41.03,,3.18,1755396,1290670,,99892
2012,West Virginia,5,0,1855413,0,0,1246559,672119,-,-,53.90,2,1,,179386,26.69,35.45,62.14,,2.41,238269,417655,,16195
2012,Wisconsin,0,10,5726398,0,0,3644205,3068434,-,-,84.20,1,2,,213019,6.94,52.83,45.89,,1.29,1620985,1407966,,39483
2012,Wyoming,3,0,576412,0,0,240438,249061,-,-,103.60,2,1,,101676,40.82,27.82,68.64,,3.54,69286,170962,,8813
2008,Alabama,9,0,4661900,3497000,0,2841195,2099819,60.00,-,73.90,2,1,,453067,21.58,38.74,60.32,,0.94,813479,1266546,,19794
2008,Alaska,3,0,686293,488000,0,495731,326197,66.80,-,65.80,2,1,,70247,21.54,37.89,59.42,,2.69,123594,193841,,8762
2008,Arizona,10,0,6500180,4688000,0,2987451,2303838,49.10,-,77.10,2,1,,195404,8.48,44.91,53.39,,1.69,1034707,1230111,,39020
2008,Arkansas,6,0,2855390,2108000,0,1684240,1086617,51.50,-,64.50,2,1,,215707,19.85,38.86,58.72,,2.42,422310,638017,,26290
2008,California,0,55,36756666,26993000,0,17304091,13583083,50.30,-,78.50,1,2,,3262692,24.02,60.92,36.90,,2.19,8274473,5011781,,296829
2008,Colorado,0,9,4939456,3694000,0,2637014,2401462,65.00,-,91.10,1,2,,215004,8.95,53.66,44.71,,1.63,1288633,1073629,,39200
2008,Connecticut,0,7,3501252,2651000,0,2104989,1646793,62.10,-,78.20,1,2,,368345,22.37,60.59,38.22,,1.19,997773,629428,,19592
2008,Delaware,0,3,873092,648000,0,602317,412616,63.70,-,68.50,1,2,,103085,24.98,61.91,36.93,,1.16,255459,152374,,4783
2008,D. C.,0,3,591833,469000,0,426761,265853,56.70,-,62.30,1,2,,228433,85.92,92.46,6.53,,1.01,245800,17367,,2686
2008,Florida,0,27,18328340,14069000,0,11247634,8412248,59.80,-,74.80,1,2,,236148,2.81,50.91,48.10,,0.99,4282367,4046219,,83662
2008,Georgia,15,0,9685744,7018000,0,5309342,3932158,56.00,-,74.10,2,1,,204636,5.20,46.90,52.10,,1.00,1844123,2048759,,39276
2008,Hawaii,0,4,1288198,977000,0,691356,453568,46.40,-,65.60,1,2,,205305,45.26,71.85,26.58,,1.57,325871,120566,,7131
2008,Idaho,4,0,1523816,1095000,0,863538,658454,60.10,-,76.30,2,1,,166572,25.30,35.91,61.21,,2.89,236440,403012,,19002
2008,Illinois,0,21,12901563,9521000,0,7789500,5530179,58.10,-,71.00,1,2,,1388169,25.10,61.83,36.73,,1.44,3419348,2031179,,79652
2008,Indiana,0,11,6376792,4686000,0,4514759,2756658,58.80,-,61.10,1,2,,28391,1.03,49.84,48.81,,1.34,1374039,1345648,,36971
2008,Iowa,0,7,3002555,2244000,0,2105531,1537123,68.50,-,73.00,1,2,,146561,9.53,53.93,44.39,,1.68,828940,682379,,25804
2008,Kansas,6,0,2802134,2037000,0,1749759,1238873,60.80,-,70.80,2,1,,184890,14.92,41.55,56.48,,1.97,514765,699655,,24453
2008,Kentucky,8,0,4269245,3179000,0,2906809,1827587,57.50,-,62.90,2,1,,296477,16.22,41.15,57.37,,1.49,751985,1048462,,27140
2008,Louisiana,9,0,4410796,3161000,0,2945618,1960761,62.00,-,66.60,2,1,,365286,18.63,39.93,58.56,,1.50,782989,1148275,,29497
2008,Maine,0,4,1316456,1020000,0,994153,731163,71.70,-,73.50,1,2,,126650,17.32,57.71,40.38,,1.91,421923,295273,,13967
2008,Maryland,0,10,5633597,4218000,0,3428935,2631596,62.40,-,76.70,1,2,,669605,25.44,61.92,36.47,,1.61,1629467,959862,,42267
2008,Massachusetts,0,12,6497967,4962000,0,4220488,3081069,62.10,-,73.00,1,2,,795244,25.81,61.80,35.99,,2.21,1904098,1108854,,68117
2008,Michigan,0,17,10003422,7487000,0,7470764,5010606,66.90,-,67.10,1,2,,823940,16.44,57.33,40.89,,1.78,2872579,2048639,,89388
2008,Minnesota,0,10,5220393,3898000,0,3742238,2910369,74.70,-,77.80,1,2,,297945,10.24,54.06,43.82,,2.12,1573354,1275409,,61606
2008,Mississippi,6,0,2938618,2109000,0,1895583,1289939,61.20,-,68.00,2,1,,169935,13.17,43.00,56.17,,0.83,554662,724597,,10680
2008,Missouri,11,0,5911605,4430000,0,3795956,2929111,66.10,-,77.20,2,1,,3903,0.13,49.23,49.36,,1.41,1441911,1445814,,41386
2008,Montana,3,0,967440,731000,0,668085,492750,67.40,-,73.80,2,1,,11723,2.38,47.11,49.49,,3.39,232159,243882,,16709
2008,Nebraska,4,1,1783432,1308000,0,1157345,801281,61.30,-,69.20,2,1,,119660,14.93,41.60,56.53,,1.87,333319,452979,,14983
2008,Nevada,0,5,2600167,1946000,0,1207761,967848,49.70,-,80.10,1,2,,120909,12.49,55.15,42.65,,2.20,533736,412827,,21285
2008,New Hampshire,0,4,1315809,1015000,0,958528,710970,70.00,-,74.20,1,2,,68292,9.61,54.13,44.52,,1.35,384826,316534,,9610
2008,New Jersey,0,15,8682661,6489000,0,5351669,3877407,59.80,-,72.50,1,2,,602215,15.53,57.14,41.61,,1.26,2215422,1613207,,48778
2008,New Mexico,0,5,1984356,1473000,0,1192990,830158,56.40,-,69.60,1,2,,125590,15.13,56.91,41.78,,1.31,472422,346832,,10904
2008,New York,0,31,19490297,14665000,0,10816500,7640948,52.10,-,70.60,1,2,,2052174,26.86,62.88,36.03,,1.09,4804945,2752771,,83232
2008,North Carolina,0,15,9222414,6845000,0,6226204,4310789,63.00,-,69.20,1,2,,14177,0.33,49.70,49.38,,0.92,2142651,2128474,,39664
2008,North Dakota,3,0,641481,484000,0,0,317738,65.60,-,-,2,1,,27484,8.65,44.50,53.15,,2.34,141403,168887,,7448
2008,Ohio,0,20,11485910,8499000,0,8287665,5721831,67.30,-,69.00,1,2,,262224,4.58,51.38,46.80,,1.82,2940044,2677820,,103967
2008,Oklahoma,7,0,3642361,2667000,0,2184092,1462661,54.80,-,67.00,2,1,,457669,31.29,34.35,65.65,,0.00,502496,960165,,0
2008,Oregon,0,7,3790060,2904000,0,2153914,1827864,62.90,-,84.90,1,2,,298816,16.35,56.75,40.40,,2.85,1037291,738475,,52098
2008,Pennsylvania,0,21,12448279,9449000,0,8755588,6015476,63.70,-,68.70,1,2,,620478,10.31,54.47,44.15,,1.38,3276363,2655885,,83228
2008,Rhode Island,0,4,1050788,804000,0,701307,471766,58.70,-,67.30,1,2,,131180,27.81,62.86,35.06,,2.08,296571,165391,,9804
2008,South Carolina,8,0,4479800,3313000,0,2580175,1920969,58.00,-,74.50,2,1,,172447,8.98,44.90,53.87,,1.23,862449,1034896,,23624
2008,South Dakota,3,0,804194,590000,0,530462,381975,64.70,-,72.00,2,1,,32130,8.41,44.75,53.16,,2.09,170924,203054,,7997
2008,Tennessee,11,0,6214888,4692000,0,3621633,2601982,55.50,-,71.80,2,1,,391741,15.06,41.79,56.85,,1.36,1087437,1479178,,35367
2008,Texas,34,0,24326974,17295000,0,11677018,8087791,46.80,-,69.30,2,1,,950695,11.75,43.63,55.38,,0.99,3528633,4479328,,79830
2008,Utah,5,0,2736424,1859000,0,1432525,958996,51.60,-,66.90,2,1,,268360,27.98,34.17,62.15,,3.68,327670,596030,,35296
2008,Vermont,0,3,621270,487000,0,454466,325046,66.70,-,71.50,1,2,,120288,37.01,67.46,30.45,,2.10,219262,98974,,6810
2008,Virginia,0,13,7769089,5720000,0,4912971,3723260,65.10,-,75.80,1,2,,234527,6.30,52.63,46.33,,1.04,1959532,1725005,,38723
2008,Washington,0,11,6549224,4912000,0,3630118,3053261,62.20,-,84.10,1,2,,521632,17.08,57.34,40.26,,2.40,1750848,1229216,,73197
2008,West Virginia,5,0,1814468,1395000,0,1212117,715123,51.30,-,59.00,2,1,,93609,13.09,42.49,55.58,,1.93,303857,397466,,13800
2008,Wisconsin,0,10,5627967,4212000,0,0,2983417,70.80,-,-,1,2,,414818,13.90,56.22,42.31,,1.47,1677211,1262393,,43813
2008,Wyoming,3,0,532668,397000,0,244818,254658,64.10,-,104.00,2,1,,82090,32.24,32.54,64.78,,2.68,82868,164958,,6832
2004,Alabama,9,0,4530182,3393000,0,2597629,1883449,55.50,-,72.50,2,1,,482461,25.62,36.84,62.46,,0.70,693933,1176394,,13122
2004,Alaska,3,0,655435,460000,0,472160,312598,68.00,-,66.20,2,1,,79864,25.55,35.52,61.07,,3.42,111025,190889,,10684
2004,Arizona,10,0,5743834,4061000,0,2643331,2016102,49.60,-,76.30,2,1,,210770,10.45,44.32,54.77,,0.91,893524,1104294,,18284
2004,Arkansas,6,0,2752629,2044000,0,1684684,1054945,51.60,-,62.60,2,1,,102945,9.76,44.55,54.31,,1.15,469953,572898,,12094
2004,California,0,55,35893799,26064000,0,16557273,12421859,47.70,-,75.00,1,2,,1235659,9.95,54.30,44.36,,1.34,6745485,5509826,,166548
2004,Colorado,9,0,4601403,3398000,0,2404597,2130325,62.70,-,88.60,2,1,,99531,4.67,47.02,51.69,,1.28,1001725,1101256,,27344
2004,Connecticut,0,7,3503604,2648000,0,2044181,1578769,59.60,-,77.20,1,2,,163662,10.37,54.31,43.95,,1.74,857488,693826,,27455
2004,Delaware,0,3,830364,619000,0,554194,375270,60.60,-,67.70,1,2,,28492,7.59,53.34,45.74,,0.92,200152,171660,,3458
2004,D. C.,0,3,553523,455000,0,383919,227586,50.00,-,59.30,1,2,,181714,79.84,89.18,9.34,,1.48,202970,21256,,3360
2004,Florida,27,0,17397161,13095000,0,10301290,7609810,58.10,-,73.90,2,1,,380978,5.01,47.09,52.10,,0.81,3583544,3964522,,61744
2004,Georgia,15,0,8829383,6388000,0,4158508,3304481,51.70,-,79.50,2,1,,548105,16.59,41.34,57.93,,0.73,1366149,1914254,,24078
2004,Hawaii,0,4,1262840,960000,0,647238,429013,44.70,-,66.30,1,2,,37517,8.74,54.01,45.26,,0.73,231708,194191,,3114
2004,Idaho,4,0,1393262,994000,0,798015,598447,60.20,-,75.00,2,1,,228137,38.12,30.26,68.38,,1.36,181098,409235,,8114
2004,Illinois,0,21,12713634,9423000,0,7499488,5274322,56.00,-,70.30,1,2,,545604,10.34,54.82,44.48,,0.70,2891550,2345946,,36826
2004,Indiana,11,0,6237569,4592000,0,4296602,2468002,53.70,-,57.40,2,1,,510427,20.68,39.26,59.94,,0.79,969011,1479438,,19553
2004,Iowa,7,0,2954451,2251000,0,1986006,1506908,66.90,-,75.90,2,1,,10059,0.67,49.23,49.90,,0.87,741898,751957,,13053
2004,Kansas,6,0,2735502,2028000,0,1694365,1187756,58.60,-,70.10,2,1,,301463,25.38,36.62,62.00,,1.37,434993,736456,,16307
2004,Kentucky,8,0,4145922,3124000,0,2794286,1796079,57.50,-,64.30,2,1,,356706,19.86,39.68,59.54,,0.77,712733,1069439,,13907
